school,sport,gender,division,conference,athletes,intl
Alcorn,cross_country,Women,D1,Southwestern Athletic Conference,6,2
Alcorn,football,Men,D1,Southwestern Athletic Conference,99,2
Alcorn,soccer,Women,D1,Southwestern Athletic Conference,18,12
Alcorn,softball,Women,D1,Southwestern Athletic Conference,18,0
Alcorn,tennis,Men,D1,Southwestern Athletic Conference,8,6
Alcorn,tennis,Women,D1,Southwestern Athletic Conference,8,5
Alcorn,track_indoor,Men,D1,Southwestern Athletic Conference,18,0
Alcorn,track_indoor,Women,D1,Southwestern Athletic Conference,22,4
Alcorn,track_outdoor,Men,D1,Southwestern Athletic Conference,18,0
Alcorn,track_outdoor,Women,D1,Southwestern Athletic Conference,22,4
Alcorn,volleyball,Women,D1,Southwestern Athletic Conference,15,1
Alfred,baseball,Men,D3,Empire 8,38,6
Alfred,basketball,Men,D3,Empire 8,21,2
Alfred,basketball,Women,D3,Empire 8,13,1
Alfred,cross_country,Men,D3,Empire 8,14,1
Alfred,cross_country,Women,D3,Empire 8,14,3
Alfred,field_hockey,Women,D3,Empire 8,14,1
Alfred,football,Men,D3,Empire 8,111,2
Alfred,lacrosse,Men,D3,Empire 8,42,0
Alfred,lacrosse,Women,D3,Empire 8,17,0
Alfred,rugby,Women,D3,Independent,18,0
Alfred,skiing,Men,D3,Independent,4,0
Alfred,skiing,Women,D3,Empire 8,4,1
Alfred,soccer,Men,D3,Empire 8,26,10
Alfred,soccer,Women,D3,Empire 8,28,3
Alfred,softball,Women,D3,Empire 8,17,0
Alfred,swimming,Men,D3,Empire 8,20,8
Alfred,swimming,Women,D3,Empire 8,16,2
Alfred,tennis,Men,D3,Empire 8,10,5
Alfred,tennis,Women,D3,Empire 8,12,1
Alfred,track_indoor,Men,D3,Empire 8,24,2
Alfred,track_indoor,Women,D3,Empire 8,21,2
Alfred,track_outdoor,Men,D3,Empire 8,24,2
Alfred,track_outdoor,Women,D3,Empire 8,21,2
Alfred,volleyball,Women,D3,Empire 8,17,0
Alfred State,baseball,Men,D3,Allegheny Mountain Collegiate Conference,44,1
Alfred State,basketball,Men,D3,Allegheny Mountain Collegiate Conference,13,0
Alfred State,basketball,Women,D3,Allegheny Mountain Collegiate Conference,14,0
Alfred State,cross_country,Men,D3,Allegheny Mountain Collegiate Conference,10,0
Alfred State,cross_country,Women,D3,Allegheny Mountain Collegiate Conference,6,0
Alfred State,football,Men,D3,Allegheny Mountain Collegiate Conference,75,0
Alfred State,lacrosse,Men,D3,Allegheny Mountain Collegiate Conference,29,0
Alfred State,lacrosse,Women,D3,Allegheny Mountain Collegiate Conference,18,0
Alfred State,soccer,Men,D3,Allegheny Mountain Collegiate Conference,27,0
Alfred State,soccer,Women,D3,Allegheny Mountain Collegiate Conference,26,1
Alfred State,softball,Women,D3,Allegheny Mountain Collegiate Conference,17,0
Alfred State,track_indoor,Men,D3,Allegheny Mountain Collegiate Conference,38,0
Alfred State,track_indoor,Women,D3,Allegheny Mountain Collegiate Conference,19,0
Alfred State,track_outdoor,Men,D3,Allegheny Mountain Collegiate Conference,38,0
