athlete_id,first_name,last_name,mp,sets,kills,errors,ta,pct,assists,digs,aces,serve_errors,block_solos,block_assists,blocks,recv_errors,points
vb_de1db2d70f2b,Megan,Darno,13,31,43,11,109,0.294,3,5,3,6,2,6,8.0,0,51.0
vb_db101f75a19e,Ava,Commons,5,9,1,0,5,0.2,17,6,5,4,0,0,0.0,0,6.0
vb_d3f67629e7ae,Brooke,Gecina,8,30,10,6,38,0.105,12,122,16,3,0,1,1.0,7,26.5
vb_35a4ca0b022d,Bailey,Garbowsky,5,9,1,0,2,0.5,3,3,3,1,0,0,0.0,0,4.0
vb_87f0f102c4d3,Charlotte,Burgan,30,100,151,106,493,0.091,12,54,1,7,12,40,52.0,0,184.0
vb_f07540b23318,Jamie,Robertson,30,111,133,36,337,0.288,14,73,35,19,13,58,71.0,0,210.0
vb_eaaff7ddf380,Anna-Kate,Davis,26,73,5,6,52,-0.019,268,133,26,17,0,0,0.0,0,31.0
vb_4f703abfc389,Mackenzie,Ging,23,72,8,7,35,0.029,10,172,22,20,0,0,0.0,18,30.0
vb_f5c8151d7cb8,Carlie,Beckstrand,31,110,214,99,583,0.197,7,66,0,0,0,28,28.0,5,228.0
vb_b33f3837caed,Paige,Christophersen,36,135,36,1,110,0.318,847,313,67,40,0,3,3.0,1,104.5
vb_23aec79c5ce7,Zahara,Johnson,4,10,4,1,10,0.3,1,3,0,0,0,7,7.0,0,7.5
vb_6e14c14ca5de,Anna,Hedrick,6,7,4,2,12,0.167,1,0,0,0,0,1,1.0,0,4.5
vb_2fce714e7b9c,Lauren,Welch,22,38,0,1,1,-1.0,4,31,0,1,0,0,0.0,5,0.0
vb_1feb8615d5b2,Dori,Hobbie,36,134,112,54,329,0.176,13,48,7,22,8,92,100.0,0,173.0
vb_54f4fb8b9684,Mehsa,Krause,36,135,382,181,1184,0.17,15,284,39,57,2,41,43.0,63,443.5
vb_beabb531e159,Britta,Hagen,3,3,1,0,5,0.2,0,0,0,0,0,0,0.0,0,1.0
vb_7b9712431ecd,Liz,Pederson,5,7,9,7,20,0.1,0,2,0,0,0,0,0.0,0,9.0
vb_57dbb01e810d,Cayla,Chun,4,7,1,0,1,1.0,25,3,1,0,0,0,0.0,0,2.0
vb_425f2fa66156,Iza,Russe,5,5,0,0,0,0.0,0,0,1,1,0,0,0.0,0,1.0
vb_f1ee29607f38,Holly,Jelinek,27,84,97,57,319,0.125,2,17,0,1,0,42,42.0,2,118.0
vb_a9c12f60ee46,Karin,Fowler,16,20,0,0,1,0.0,2,8,3,3,0,0,0.0,0,3.0
vb_adab24b4ce14,Sophie,Saxton,35,129,19,13,86,0.07,515,180,33,35,1,0,1.0,1,53.0
vb_7fe3e4ef149a,Morgan,Ryan,36,135,3,2,50,0.02,162,809,39,29,0,0,0.0,40,42.0
vb_849b0457c4ae,Caitlin,Lee,10,15,10,6,28,0.143,0,2,0,2,0,6,6.0,0,13.0
vb_adcb81887015,Evelyn,Kreft,33,121,354,135,883,0.248,9,70,3,1,5,39,44.0,6,381.5
vb_7cb06abab846,Michaela,Dooley,36,135,3,3,27,0.0,22,302,23,24,0,0,0.0,20,26.0
vb_8b1e94e0f30d,Andrea,Chavarria,3,3,1,0,2,0.5,0,1,0,0,0,0,0.0,1,1.0
vb_c456e3b54620,Maren,Miller,33,119,254,67,483,0.387,9,24,6,9,13,85,98.0,0,315.5
vb_28e08b39cd2d,Lilah,Van Scoyoc,34,115,270,99,894,0.191,9,131,4,5,4,39,43.0,22,297.5
vb_74ecadf2940b,Adrianna,Favata,30,112,21,1,51,0.392,572,266,21,5,0,0,0.0,0,42.0
vb_47cceba677a1,Kasie,Meek,17,55,52,45,225,0.031,4,77,5,4,0,19,19.0,14,66.5
