athlete_id,first_name,last_name,gp,gs,goals,assists,points,shots,sog,gwg,gb,to,ct,dc,fow,fo_att,minutes,gk_ga,gk_gaa,gk_saves,gk_sv_pct
lax_f8784c1e39d3,Joseph,Grenier,13,12,0,1,1,0,0,0,20,10,2,,0,0,,114,9.91,131,0.535
lax_fb1dfc2e4e18,Will,Anderson,2,0,0,0,0,0,0,0,0,2,0,,0,0,,,,,
lax_b2cf8fe51c52,Dylan,Brown,14,0,0,0,0,1,0,0,6,1,9,,0,3,,,,,
lax_9df3062dbd19,Vincent,Cappelli,4,0,0,0,0,0,0,0,1,1,0,,0,0,,,,,
lax_26300a6fbb76,Conor,Connally,4,0,0,0,0,0,0,0,1,1,0,,0,0,,,,,
lax_e85a44307cf4,Ian,Cote,8,4,0,0,0,0,0,0,5,11,1,,0,0,,51,11.13,54,0.514
lax_a4db5d0dc4c5,Chase,Docker,3,0,0,0,0,0,0,0,1,0,0,,0,0,,,,,
lax_e29a0bc2e316,Hunter,Fodera,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_e93c5f27657e,Jonathan,Guida,3,0,0,0,0,0,0,0,1,0,0,,0,0,,,,,
lax_5f32e27f178c,Willard,Kull,3,0,0,0,0,1,1,0,1,0,1,,3,5,,,,,
lax_bc48f9ffd68f,Dominic,Pellegrino,8,2,0,0,0,1,0,0,4,0,3,,0,0,,,,,
lax_da9a5d1f64a4,Jacob,Porkka,13,0,0,0,0,0,0,0,5,2,1,,0,0,,,,,
lax_214fcf9ccd49,Zachary,Rabin,12,5,0,0,0,1,1,0,9,9,8,,0,0,,,,,
lax_f3f8510606a1,Cole,Rinn,3,0,0,0,0,0,0,0,1,0,0,,1,1,,,,,
lax_99bafea6af03,Ben,Rosenberg,2,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,
lax_178f5c55464b,Logan,Ruby,16,11,0,0,0,3,0,0,28,7,13,,7,23,,,,,
lax_be3208051d01,Joseph,Sabella,4,0,0,0,0,0,0,0,0,2,0,,0,0,,,,,
lax_acb14d3144cd,Timmy,Sheehan,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_daf7e4d63cc2,Jake,Staples,4,0,0,0,0,2,2,0,0,0,0,,0,0,,,,,
lax_edf5c427641b,Trevor,Stringer,16,0,0,0,0,5,0,0,4,1,2,,0,0,,,,,
lax_38b57d275bd8,Luke,Taylor,2,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_7c732be02341,Alex,DeLierre,17,17,57,5,62,148,89,3,47,18,13,,0,0,,,,,
lax_2b1ad9807a69,Colin,Wagner,17,17,50,9,59,154,88,4,36,40,3,,0,0,,,,,
lax_a8ae0c6a1a4c,Josh,Graham,16,16,26,20,46,68,46,0,8,20,2,,0,0,,,,,
lax_acce59f3ec12,Calen,Reid,17,17,13,27,40,60,36,1,17,22,3,,0,0,,,,,
lax_50a65fd16945,Brody,Nussman,17,6,10,25,35,36,20,1,15,12,3,,0,0,,,,,
lax_7baac9dce0a2,Jack,Vandegrift,11,11,19,15,34,64,42,1,12,6,4,,0,0,,,,,
lax_7945a063a00c,Gage,Parker,13,13,16,3,19,46,28,1,3,14,0,,0,0,,,,,
lax_cd24c157b1bf,Liam,Humphrey,17,5,7,9,16,51,24,0,14,13,5,,0,0,,,,,
lax_8134eaf2fe73,Nate,Sears,13,0,5,7,12,18,10,0,3,7,0,,0,0,,,,,
lax_54563663c8aa,Tommy,Vandegrift,16,0,5,7,12,22,11,0,5,6,0,,0,0,,,,,
lax_1f9786acad22,Jimmy,Wasko,5,0,9,2,11,17,14,0,1,6,1,,0,0,,,,,
lax_7e48831078bf,Trevor,Klapmuts,4,0,7,3,10,18,9,0,2,3,0,,0,0,,,,,
lax_36b5b12afb6d,Cole,Blum,17,0,3,5,8,12,10,1,114,8,7,,207,381,,,,,
lax_a12530385269,Shane,Phillips,17,17,3,5,8,14,4,0,30,13,30,,0,0,,,,,
lax_c208cc897751,Ty,Christianson,4,0,2,6,8,4,4,0,3,0,0,,0,0,,,,,
lax_8380d2fcc74d,Shane,Kulhay,13,0,4,3,7,19,8,0,5,7,1,,0,0,,,,,
lax_e17bfeff93ee,Justin,Besz,17,0,2,3,5,23,12,0,18,10,13,,0,0,,,,,
