athlete_id,first_name,last_name,gp,goals,assists,points,plus_minus,minutes,goalie_ga,goalie_gaa,goalie_saves,goalie_sv_pct
ih_e06d2328e83c,Graham,Harris,10,0,0,0,0,1,,,,
ih_7c56874c68e0,Teddy,Townsend,25,3,2,5,-6,4,,,,
ih_28f55cea538d,Leo,Gruba,33,2,5,7,-8,7,,,,
ih_140cd9708386,Erik,Påhlsson,32,5,9,14,-9,2,,,,
ih_62f63af51d59,Brodie,Ziemer,36,23,13,36,-10,8,,,,
ih_846c3af39e59,Mason,Moe,33,6,6,12,1,2,,,,
ih_97bb7aadf058,Chris,Able,33,0,6,6,4,4,,,,
ih_ed8166358543,Ethan,Straky,33,1,6,7,-4,5,,,,
ih_7be6622f2847,Chris,Romaine,18,0,0,0,-10,3,,,,
ih_3890bdcb61b7,Nathan,McBrayer,36,4,6,10,6,5,,,,
ih_309d38002594,Riley,Thompson,37,13,14,27,-1,15,,,,
ih_d5e67fa8a1c9,Thomas,Weis,34,1,4,5,-5,6,,,,
ih_2a9f94655a41,Jake,Rozzi,10,1,2,3,-7,0,,,,
ih_862dcb1508e9,Félix,Caron,37,14,16,30,7,17,,,,
ih_3e98bda6979c,Adam,Eisele,36,13,7,20,-6,7,,,,
ih_7f0c5733feb1,Max,Montes,37,15,13,28,1,12,,,,
ih_fabf93277b31,Landen,Gunderson,6,0,1,1,-4,0,,,,
ih_74a6a43bcc12,James,Hong,33,4,9,13,-3,8,,,,
ih_93badd55f41b,Bryce,Ingles,30,1,7,8,0,5,,,,
ih_52159b95a078,Davis,Burnside,37,12,20,32,7,14,,,,
ih_3588b15ecffa,Niall,Crocker,25,2,4,6,-3,2,,,,
ih_511c193322ce,Sam,Deckhut,33,3,3,6,-10,3,,,,
ih_2d7c3ca72031,Sam,McGinley,32,1,5,6,0,11,,,,
ih_52c59b308ba8,William,Smith,37,4,8,12,2,8,,,,
ih_7619411da4a8,Ryan,Gordon,37,5,17,22,-5,8,,,,
ih_7aef65b4d619,Jake,Karabela,37,15,22,37,8,5,,,,
ih_6d55dac2600c,Nathan,Lewis,23,4,1,5,-3,1,,,,
ih_f51d76ad443c,Broten,Sabo,35,2,19,21,-14,8,,,,
ih_a4ffb24ebc09,Jake,Dunlap,25,4,6,10,2,4,,,,
ih_9474a18250e0,Luke,Osburn,33,6,15,21,-2,9,,,,
ih_96b9ca7f309c,Ben,Dexheimer,39,7,21,28,2,5,,,,
ih_fc8ef3447f09,Zach,Schulz,12,0,3,3,8,1,,,,
ih_ea1a343a8a7d,Logan,Hensler,23,4,8,12,6,5,,,,
ih_158b3ba6366a,Gavin,Morrissey,36,9,27,36,9,1,,,,
ih_2ab5dfb9b181,Jack,Phelan,37,0,9,9,8,7,,,,
ih_5421c67d7539,Kyle,Kukkonen,26,2,4,6,-6,4,,,,
ih_4cda69a46abc,Simon,Tassy,39,14,9,23,3,9,,,,
ih_9a8efddf905c,Christian,Fitzgerald,39,16,15,31,-3,13,,,,
ih_cf8c470f8277,Joe,Palodichuk,36,3,15,18,18,6,,,,
ih_520b5ddce742,Tyson,Dyck,26,5,10,15,2,7,,,,
ih_c5f251aa815a,Grady,Deering,39,7,8,15,7,8,,,,
ih_07d18bc72646,Adam,Pietila,31,7,5,12,4,10,,,,
ih_a17a457903f0,Quinn,Finley,37,17,16,33,-1,6,,,,
ih_36640f496ffa,Ryan,Botterill,36,10,12,22,10,1,,,,
ih_f57a4ed1a181,Jack,Horbach,39,3,5,8,4,13,,,,
ih_356c055d1452,Weston,Knox,20,1,5,6,2,1,,,,
ih_54740a022613,Finn,Brink,27,5,8,13,11,1,,,,
ih_a516b5803026,Aiden,Dubinsky,39,2,4,6,6,8,,,,
ih_782d540b8f47,Blake,Montgomery,38,9,8,17,-7,6,,,,
ih_c9e336dd2efd,Oliver,Tulk,39,7,17,24,4,10,,,,
ih_1a3b219622de,Bruno,Idžan,20,2,3,5,3,2,,,,
ih_da4f66d7e960,Vasily,Zelenov,28,6,13,19,8,4,,,,
ih_31deee27e0d8,Quentin,Sigurdson,4,0,0,0,0,0,11,2.72,127,0.92
ih_4039bb828eac,Joaquim,Lemay,9,0,1,1,,5,,,,
ih_93c4c847ccc7,Dylan,Compton,36,4,6,10,,8,,,,
ih_799df884e2c2,Jack,Henry,35,1,5,6,-2,4,,,,
ih_17cdac321047,Grayson,Badger,5,0,0,0,0,0,,,,
ih_32786db84261,Andy,Moore,36,2,2,4,-6,7,,,,
ih_6931f49f0fea,James,Fisher,36,2,1,3,0,3,,,,
ih_619d2e7ae8d2,Noah,Jones,29,2,1,3,-2,2,,,,
ih_5cfa10fc3b63,Ethan,Fredericks,16,0,0,0,-2,2,,,,
ih_627d05a4a9d6,Eli,Sebastian,35,3,5,8,,6,,,,
ih_3de313ac4c60,Dylan,Hryckowian,30,15,22,37,,6,,,,
ih_8ee68f29dd7a,Joe,Connor,36,13,14,27,-3,10,,,,
ih_b34792cb5d74,Giacomo,Martino,36,13,12,25,-8,4,,,,
ih_5461d0e0e824,Griffin,Erdman,36,6,9,15,,8,,,,
ih_97aa2c5eeda2,Marc,Lund,4,0,0,0,0,0,,,,
ih_98d3f68907fc,Jack,Pechar,36,3,4,7,-1,0,,,,
ih_3eba95399a10,Vinny,Borgesi,36,5,15,20,0,7,,,,
ih_519f14d6de3d,Austen,May,36,4,6,10,,8,,,,
ih_cf7a8a50263d,Dylan,Finlay,34,0,9,9,-1,10,,,,
ih_fc1eb27a59d1,Amine,Hajibi,36,7,19,26,,5,,,,
ih_6a1cb33dd15f,Matt,DellaRusso,1,0,0,0,0,0,1,21.3,2,0.667
ih_3a4dae72f4c0,Lawton,Zacher,32,0,0,0,0,1,70,2.2,922,0.929
ih_f6dc2757dcd3,Matthew,Perkins,28,4,3,7,,5,,,,
ih_9a8668601ba8,Jacob,Mathieu,32,10,20,30,,3,,,,
ih_a75f42bf3afb,Tyler,Fukakusa,36,3,17,20,-4,10,,,,
ih_52942ce6ddc6,Matthew,Maltais,26,1,3,4,-5,7,,,,
ih_355272c8e481,Croix,Kochendorfer,9,0,0,0,0,0,18,4.39,137,0.884
ih_53b0120338f2,Michael,Craig,26,3,10,13,-9,3,,,,
ih_376bbb1c290e,Dominic,Elliott,40,6,13,19,,5,,,,
ih_4b39dff2e708,Greg,Japchen,32,1,1,2,-5,7,,,,
ih_32c62ffdf121,Luke,van Why,31,3,7,10,-5,9,,,,
ih_ab0b1e192127,Rasmus,Larsson,16,1,1,2,-4,0,,,,
ih_e2c085e750ca,John,Babcock,40,4,9,13,,9,,,,
ih_8361be0612e1,Gabriel,Lunn,35,1,7,8,-7,7,,,,
ih_a532867275ee,Max,Wattvil,14,1,1,2,,4,,,,
ih_8be938e3291f,J.R.,Ashmead,29,0,0,0,0,5,,,,
ih_8ef82b3907af,Dario,Beljo,26,1,3,4,-9,4,,,,
ih_d615835d6c36,Jackson,Reineke,36,11,15,26,-6,5,,,,
ih_0db14d0d2378,Julian,Beaumont,27,6,5,11,,5,,,,
ih_404a08cc77a2,Connor,Gourley,28,2,4,6,-3,6,,,,
ih_2eebec77ecfe,George,Krotiris,39,5,9,14,-5,8,,,,
ih_b066a79ef94c,Patrick,Johnson,40,5,9,14,-1,10,,,,
ih_40f4a613abf5,Bruce,McDonald,38,3,13,16,-12,6,,,,
ih_bd72600d008d,Tanner,Klimpke,40,16,15,31,-7,10,,,,
ih_18a4d97cc5d2,McKay,Hayes,13,0,4,4,-2,1,,,,
ih_12e79eef8855,Cameron,Garvey,40,11,14,25,-1,12,,,,
ih_1fa59db845eb,Ryan,Taylor,25,6,9,15,,2,,,,
ih_f4dacfd02144,Zeke,Nicholson,12,0,1,1,-1,1,,,,
ih_f255810f5488,Braden,Rourke,35,3,7,10,,10,,,,
ih_68a7a26cb4f5,Trent,Wilson,37,5,10,15,,11,,,,
ih_dacaf06fd7f8,Michael,Felsing,39,8,10,18,-3,10,,,,
ih_d90c162122cf,Lucas,Massie,12,0,0,0,0,0,22,2.87,237,0.915
ih_96d20b6dee0a,Charlie,Schenkel,30,0,0,0,0,0,80,2.8,803,0.909
ih_a032f85b0f34,Lee,Chiang,2,0,1,1,,0,,,,
ih_f26d4da2d87d,Luca,Primerano,20,1,1,2,-4,1,,,,
ih_64f037b8b84f,Tristan,Zarsky,8,0,0,0,-2,0,,,,
ih_4acc89edf669,Alex,Pineau,31,1,8,9,-18,9,,,,
ih_8e2557547e49,Nick,Traggio,29,0,2,2,-3,5,,,,
